City	State	2015 Est Population	2010 Census	2014 Land Area
Springfield	Massachusetts	154,341	153,060	31.9 sq mi
Pasadena	Texas	153,784	149,043	42.8 sq mi
Macon	Georgia	153,515	91,351	255.1 sq mi
Alexandria	Virginia	153,511	139,966	15.0 sq mi
Pomona	California	153,266	149,058	23.0 sq mi
Lakewood	Colorado	152,597	142,980	42.9 sq mi
Sunnyvale	California	151,754	140,081	22.0 sq mi
Escondido	California	151,451	143,911	36.8 sq mi
Kansas City	Kansas	151,306	145,786	124.8 sq mi
Hollywood	Florida	149,728	140,768	27.4 sq mi
Clarksville	Tennessee	149,176	132,929	97.6 sq mi
Torrance	California	148,475	145,438	20.5 sq mi
Rockford	Illinois	148,278	152,871	61.1 sq mi
Joliet	Illinois	147,861	147,433	62.1 sq mi
Paterson	New Jersey	147,754	146,199	8.4 sq mi
Bridgeport	Connecticut	147,629	144,229	16.0 sq mi
Naperville	Illinois	147,100	141,853	38.8 sq mi
Savannah	Georgia	145,674	136,286	103.2 sq mi
Mesquite	Texas	144,788	139,824	46.0 sq mi
Syracuse	New York	144,142	145,170	25.0 sq mi
Pasadena	California	142,250	137,122	23.0 sq mi
Orange	California	140,992	136,416	24.8 sq mi
Fullerton	California	140,847	135,161	22.4 sq mi
Killeen	Texas	140,806	127,921	53.6 sq mi
Dayton	Ohio	140,599	141,527	55.7 sq mi
McAllen	Texas	140,269	129,877	48.3 sq mi
Bellevue	Washington	139,820	122,363	32.0 sq mi
Miramar	Florida	137,132	122,041	29.5 sq mi
Hampton	Virginia	136,454	137,436	51.4 sq mi
West Valley City	Utah	136,208	129,480	35.6 sq mi
Warren	Michigan	135,358	134,056	34.4 sq mi
Olathe	Kansas	134,305	125,872	59.7 sq mi
Columbia	South Carolina	133,803	129,272	132.2 sq mi
Thornton	Colorado	133,451	118,772	34.8 sq mi
Carrollton	Texas	133,168	119,097	36.3 sq mi
Midland	Texas	132,950	111,147	72.1 sq mi
Charleston	South Carolina	132,609	120,083	109.0 sq mi
Waco	Texas	132,356	124,805	89.0 sq mi
Sterling Heights	Michigan	132,052	129,699	36.5 sq mi
Denton	Texas	131,044	113,383	88.0 sq mi
Cedar Rapids	Iowa	130,405	126,326	70.8 sq mi
